Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-19 14:48:13.013 -0600,"Success",0:00:00,0,0,0,"20160519_144813.013/LogFile.txt","","",1
2016-07-05 22:42:45.367 -0600,"Success",0:00:00,0,0,0,"20160705_224245.367/LogFile.txt","","",1
